incident_number,incident_summary,true_location,llama3_8b_pred,mistral_7b_pred,mixtral_8x7b_pred,flan_t5_xl_pred,gpt4o_mini_pred,gemini_flash_pred
810301401,"Jharkhand Police arrested two CPI-Maoist cadres along with cache of ammunition in Latehar District of Jharkhand. Latehar's SP, Michael S Raj, said the duo was involved in several acts of violence since 2011.","state: Jharkhand, district: Latehar","district: Latehar, village: None, other_locations: None. Note: The answer is in the exact required format. The village name is not mentioned in the incident. The district name is mentioned as Latehar. The state name is mentioned as Jh","state: Jharkhand, district: Latehar, village: Not mentioned, other_locations: Not mentioned.","state: Jharkhand, district: Latehar, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Latehar",
310301404,"A tiffin bomb weighing five kilograms, along with 10 meter wire was found near Mungwal village under Bayanar Police Station limits in Kondagaon District of Chhattisgarh. A Road Opening Party which had started from Bayanar Police Station detected the bomb and it was defused at the spot.","state: Chhattisgarh, district: Kondagaon, village: Mungwal, other_locations: Bayanar","district: Kondagaon, village: Mungwal, other_locations: Chhattisgarh. Explanation","state: Chhattisgarh, district: Kondagaon, village: Mungwal, other_locations: Bayanar Police Station.","state: Chhattisgarh, district: Kondagaon, village: Mungwal, other_locations: Bayanar Police Station","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kondagaon, village: Mungwal, other_locations: Bayanar Police Station",
310301405,"Maoist cadre Madkami Bheema surrendered before SP Kamlochan Kashyap in Dantewada District of Chhattisgarh. Kashyap informed that Bheema, member of Dandakaranya Kisan Shramik Morcha, an offshoot of the CPI-Maoist, was involved in several serious criminal incidents like murder, attempt to murder, loot and attack on Police party.","state: Chhattisgarh, district: Dantewada","district: Dantewada, other_locations: . Note: The village name is missing in the incident. Hence","state: Chhattisgarh, district: Dantewada, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Dantewada, village: not mentioned, other_locations: not mentioned","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada",
310301402,"Two Maoists, identified as Koyana Baghel (36) and Sukhram Baghel (37), expert at making IEDs, were arrested from their native Bukrawada village under Kukanar Police Station limits in Sukma District of Chhattisgarh. Acting on inputs that the duo was planning to hold a meeting with villagers at their native place, a joint squad of CRPF and local Police launched a combing and arrested them. The Maoists were working as ‘jan militia’ members in Katekalyan ‘area committee’ of the CPI-Maoist and were tasked with preparing and planting the IEDs to target the SFs, Kalluri said.","state: Chhattisgarh, district: Sukma, village: Bukrawada, other_locations: Kukanar","district: Sukma, village: Bukrawada, other_locations: Kukanar Police Station","state: Chhattisgarh, district: Sukma, village: Bukrawada, other_locations: Kukanar Police Station","state: Chhattisgarh, district: Sukma, village: Bukrawada, other_locations: Katekalyan 'area committee' of the CPI-Maoist","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Sukma, village: Bukrawada, other_locations: Kukanar",
310311401,"As many as 12 cadres of the CPI-Maoist, identified as Somnath Darro, Ram Lal Dhruv, Rajau Usendi, Parshuram Himachi, Sukku Ram Vadde, Gaid Singh, Maniram Gavde, Sagaram Uiyke, Bajaru Ram, Ghasiya Mandavi, Prakash Jain and Dev Singh, surrendered before IG of Police Bastar and the District administration officials in Kanker District of Chhattisgarh. Somnath, ‘commander’ of Maoist LOS operating in Medhki region of the District, carried cash reward of INR 500,000 on his head while cash reward of INR 100,000 each was declared on the arrest of the remaining 11 insurgents.","state: Chhattisgarh, district: Kanker","district: Kanker, village: Medhki, other_locations: Bastar","state: Chhattisgarh, district: Kanker, village: Not mentioned, other_locations: Medhki region.","state: Chhattisgarh, district: Kanker, village: Medhki","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker, other_locations: Medhki",
310311402,"Four hardcore Maoists including three female insurgents surrendered before Police in Bastar District of Chhattisgarh. The four insurgents who surrendered in Jagdalpur (District headquarters) are ‘deputy commander’ Indravati Area Committee Podiyami Hidma alias Lakshman and three female insurgents identified as Murami Palo, Madvi Batti and Ramo Vekka. SP, Jagdalpur, Ajay Yadav informed that Lakshman handed over one hand grenade and 6 kg tiffin bomb to Police after surrender. The female insurgents were distressed with shabby treatment meted out to them in the Maoist organization, the SP added.","state: Chhattisgarh, district: Bastar","district: Bastar, village: Jagdalpur, other_locations: Indravati Area Committee Podiyami Hidma alias Laksh","state: Chhattisgarh, district: Bastar, village: Not mentioned, other_locations: Jagdalpur.","state: Chhattisgarh, district: Bastar, village: Jagdalpur, other_locations: Indravati Area Committee","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bastar, village: Jagdalpur",
311011401,"Four cadres of the CPI-Maoist, who were allegedly involved in triggering IED blast during the Assembly by-polls for Antagarh seat held on September 13, were arrested by a joint squad of DF and BSF from Tadhur forest under Bande Police Station limits in Kanker District of Chhattisgarh. Those arrested were identified as Somji Mandavi (30), Alsuram Khorcha (28), Raigi Sodo (32) and Sainuram Mandavi (40). Police also recovered three SBML guns from their possession.","state: Chhattisgarh, district: Kanker, other_locations: Bande - Tadhur forest under Bande","district: Kanker, village: Tadhur, other_locations: Bande Police Station","state: Chhattisgarh, district: Kanker, village: Not mentioned, other_locations: Tadhur forest","state: Chhattisgarh, district: Kanker, village: Tadhur, other_locations: Bande Police Station limits.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker, village: Tadhur, other_locations: Bande Police Station",
1411011401,"A CPI-Maoist cadre, identified as Singa Katami alias Mahesh, allegedly involved in several violent incidents was arrested during combing operations by SFs in Sudhakonda forest in MV-79 in Malkangiri District of Odisha. Mahesh had joined the CPI-Maoist in 2009 and had been working under Kalimela Dalam. He functioned as a bodyguard of Maoist leader Uday and was involved in a number of Maoist acts including a major encounter with SFs at Tentulipadar in 2011 and Janiguda BSF ambush in 2012.","state: Odisha, district: Malkangiri, other_locations: Sudhakonda forest in MV-79","district: Malkangiri, village: Sudhakonda, other_locations: MV-79","state: Odisha, district: Malkangiri, village: Not mentioned, other_locations: Sudhakonda forest","state: Odisha, district: Malkangiri, village: Sudhakonda, other_locations: Kalimela Dalam","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Malkangiri, village: Sudhakonda, other_locations: MV-79",
311021401,"A woman Maoist ‘commander’, identified as Laxmi Salaam (32), wanted in 12 cases was arrested from her native village Sambalpur under Koilibeda Police Station limits in Kanker District of Chhattisgarh.","state: Chhattisgarh, district: Kanker, village: Sambalpur, other_locations: Koilibeda",state: Chhattisgarh - District: Kanker - Village: Sambalpur -,"state: Chhattisgarh, district: Kanker, village: Sambalpur, other_locations: Koilibeda Police Station limits.","state: Chhattisgarh, district: Kanker, village: Sambalpur","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker, village: Sambalpur, other_locations: Koilibeda Police Station",
311021402,"Top CPI-Maoist leader and an accused in the April 2010 Dantewada attack that killed 75 CRPF personnel, Hemant Mandavi alias Bijja was arrested in Dantewada District of Chhattisgarh. According to the SATP data 75 CRPF personnel and a State Policeman were killed in the Dantewada attack by the Maoists. The Chhattisgarh Police, which made the arrest, claimed that he was involved in the murder of 136 civilians and security personnel and was leading Platoon No-1 of a CPI-Maoist military company.","state: Chhattisgarh, district: Dantewada","district: Dantewada, other_locations: . Explanation: The incident mentions the following locations: - Chhattisgarh (state) - Dantewada (district) - Dantewada (","state: Chhattisgarh, district: Dantewada, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Dantewada, village: Not mentioned, other_locations: Not mentioned.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada",
811031401,"Suspected cadres of the PLFI, a breakaway faction of the CPI-Maoist, gunned down seven persons, reportedly members of Shanti Sena, a local outfit formed to maintain peace and brotherhood in Gumla District of Jharkhand. Jharkhand Police spokesperson Anurag Gupta confirmed the deaths. Sources said PLFI cadres opened indiscriminate firing on a SUV carrying seven members of Shanti Sena between Harup and Rerwa villages under Kamdara Police Station area around 6.30pm. A police officer requesting anonymity said it appears that PLFI rebels were upset with the Shanti Sena, who used to speak against them and were championing a society free of crime and extremism.","state: Jharkhand, district: Gumla, village: between Harup and Rerwa villages, other_locations: Kamdara","district: Gumla, village: Rerwa, other_locations: Kamdara Police Station","state: Jharkhand, district: Gumla, village: Harup, other_locations: Kamdara Police Station area","state: Jharkhand, district: Gumla, village: Harup and Rerwa, other_locations: Kamdara Police Station area.","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Gumla, village: Harup, other_locations: Rerwa",
311031401,"18 CPI-Maoist cadres, including hardcore cadres involved in last year's (2013) Jiram Valley attack on Congress leaders, surrendered in Dantewada District of Chhattisgarh. ""As many as eighteen ultras, most of them carrying cash rewards on their heads, turned themselves in before senior Police and CRPF official in Dantewada. Of the surrendered, Lakhma Vetti (28) was the most dreaded, who was working as Katekalyan LOS member. The chief of the DAKMS - Dandakaranya Tribal Farmer Wage Earner Organisation - of Barsoor Area Committee of Maoists, Itwari Mandavi (27) and Janmiltia - People’s Militia - Commander in the same region, Jaidev Mandavi (28), carrying reward of INR 1 lakh each on their heads, were other Maoists who surrendered. Others were identified as Madkami Kala, Shyamlal, Beti Barsa, Kattam Chaitu, Kawasi Lakhma, Betti Masa, Madda Muchaki, Basant Kartam, Dinesh Podiyami, Antu Mandavi, Shaymlal Markam, Laxman Barsa, Budhram Kadti, Hunga Barse, Pisa Kadti. All of them were aged between 19 and 42 and were deployed as members of DAKMS in the region.","state: Chhattisgarh, district: Dantewada","village: Barsoor, other_locations: Katekalyan","state: Chhattisgarh, district: Dantewada, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Dantewada, village: <not mentioned>, other_locations: Katekalyan LOS","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, other_locations: Barsoor",
111031401,"Two CPI-Maoist cadres, identified as Pangi Sathi Babu and Korra Venkat Rao of Galikonda dalam of the CPI-Maoist, surrendered before ASP Vijaya Rao in Rampachodavaram mandal in East Godavari District of Andhra Pradesh. The surrendered duos were natives of Yendakota village under Koyyuru mandal in Visakhapatnam District. They were involved in the killing of a dalam 'commander' of the same group a couple of months ago at Gangala Thota area in Yendakota mandal, the ASP added.                                               The DVF and SOG personnel of Odisha busted six CPI-Maoist camps in a forest near Tekaguda village of Kalimela block in Malkangiri District. Huge quantity of explosives and Maoist materials were seized from the spot. Materials seized from the busted camps included pipe gun, pistols, magazines, explosives, gun and bomb making materials, Maoists dress, books, medicines and other essentials, said Malkangiri Superintendent of Police Mitrabhanu Mohapatra. However, the SOG personnel failed to capture any of the Maoists as they had already fled from the camps.","state: Andhra Pradesh, district: East Godavari, other_locations: Rampachodavaram",other_locations: Galikonda dalam,state: Andhra Pradesh district: East Godavari village: Rampachodavaram other_locations: state: Andhra Pradesh district: Visakhapatnam village: Yendakota other_loc,"state: Andhra Pradesh, district: East Godavari, village: Rampachodavaram mandal, other_locations: Yendakota village","state: name>, district: name>, village: name>, other_locations: name>","state: Andhra Pradesh, district: East Godavari, village: Yendakota, other_locations: Rampachodavaram mandal",
311041402,"Two CPI-Maoist cadres, identified as Sodhi Baman (20) and his woman associate Sodhi Payake (19), were arrested by a joint team of CRPF and local Police from Palnar Bazar Square under Kuwakonda Police Station limits of Dantewada District of Chhattisgarh.","state: Chhattisgarh, district: Dantewada, other_locations: Palnar Bazar square","district: Dantewada, village: Palnar Bazar Square, other_locations: Kuwakonda Police Station"" Explanation: The incident took place in Chhattisgarh","state: Chhattisgarh, district: Dantewada, village: (not mentioned), other_locations: Palnar Bazar Square","state: Chhattisgarh, district: Dantewada, village: Palnar, other_locations: Kuwakonda Police Station limits","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, village: Palnar, other_locations: Palnar Bazar Square",
311041403,One Maoist cadre was arrested from an unspecified location of Dantewada District of Chhattisgarh.,"state: Chhattisgarh, district: Dantewada","state: Chhattisgarh, district: Dantewada, other_locations: unspecified location"" # Corrected answer Explanation: The incident mentions the state as Chhattisgarh","state: Chhattisgarh, district: Dantewada, village: Unspecified, other_locations: Unspecified.","state: Chhattisgarh, district: Dantewada, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada",
311041401,"Three top CPI-Maoist cadres were arrested by a joint team of CAF and District Police from Chotte Karkeli canal in Kutaru village in Bijapur District of Chhattisgarh. The three Maoists were identified as National Park ‘Jan Militia’ members Manguli Kohrami (23), Lala Poyami (25), and Chaitu Vacham (30) of Murkinar village. The joint team also recovered three muzzle guns, huge number of banners and posters from each of the three arrested Maoists.","state: Chhattisgarh, district: Bijapur, village: Kutaru, other_locations: Chotte Karkeli canal","district: Bijapur, village: Kutaru, other_locations: Murkinar","state: Chhattisgarh, district: Bijapur, village: Kutaru, other_locations: Murkinar","state: Chhattisgarh, district: Bijapur, village: Kutaru, other_locations: Murkinar","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur, village: Kutaru, other_locations: Chotte Karkeli canal",
311051402,A group of CPI-Maoists cadres stormed into a mining area of state-run NMDC at Bailadila in Dantewada District of Chhattisgarh and set a poclain machine on fire.,"state: Chhattisgarh, district: Dantewada, village: Bailadila","state: Chhattisgarh, district: Dantewada, village: Bailadila, other_locations: NMDC mining area"" Note: NMDC is a state-run company","state: Chhattisgarh, district: Dantewada, village: (not mentioned), other_locations: Bailadila (mining area)","state: Chhattisgarh, district: Dantewada, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, village: Bailadila",
311051403,"In another incident involving the Maoists at Bailadila in Dantewada District of Chhattisgarh, they removed the fishplates from a railway track in a bid to disrupt train services on Kirandul-Jagdalpur-Visakhapatnam route.","state: Chhattisgarh, district: Dantewada, village: Bailadila","district: Dantewada, village: Bailadila, other_locations: Kirandul","state: Chhattisgarh, district: Dantewada, village: (not mentioned), other_locations: Bailadila","state: Chhattisgarh, district: Dantewada, village: Bailadila, other_locations: Kirandul-Jagdalpur-Visakhapatnam route.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, village: Bailadila, other_locations: Kirandul-Jagdalpur-Visakhapatnam",
311051401,"Security personnel escaped a CPI-Maoist triggered powerful IED blast under a small bridge between Pamalwaya and Cherpal under Bijapur Police Station limits in Bijapur District of Chhattisgarh. ""The explosion was so powerful that it left a five-and-half feet deep crater on Bijapur-Gangaloor road,"" Bijapur ASP Indira Kalyan Elesela said. However, no one was injured in the blast.","state: Chhattisgarh, district: Bijapur, other_locations: between Pamalwaya and Cherpal","district: Bijapur, village: Pamalwaya, other_locations: Bijapur Police Station","state: Chhattisgarh, district: Bijapur, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Bijapur, village: Pamalwaya and Cherpal, other_locations: Bijapur Police Station.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur, other_locations: Pamalwaya",
1411061401,"Suspected CPI-Maoist cadres killed a tribal village headman, identified as Radhaya Sirika (60), in Siriguda village under Narayanpatna block in Koraput District of Odisha. Though the modus operandi of the killing is similar to that of Maoists, Police are yet to confirm their involvement. ""The assailants slit the throat of the victim with a sharp-edged weapon. No Maoist poster or banner was found near the body,"" SP Charan Singh Meena said. Police claimed the deceased was never a 'Police informer' and he might have been killed for some other reason. ""The reason behind the killing will be known once we complete our inquiry,"" he added.","state: Odisha, district: Koraput, village: Siriguda, other_locations: Narayanpatna","district: Koraput, village: Siriguda, other_locations: India","state: Odisha, district: Koraput, village: Siriguda, other_locations: Narayanpatna block.","state: Odisha, district: Koraput, village: Siriguda, other_locations: Narayanpatna block","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Koraput, village: Siriguda, other_locations: Narayanpatna",
111061401,"The Visakha Rural Police of Andhra Pradesh arrested four people, including an Associate Professor of Andhra University's Telugu Department, for allegedly supplying explosive material to CPI-Maoist. The arrested were identified as Associate Professor Jarra Appa Rao (44), Ganapatiraju Subba Raju, Varupari Prasad and Kovvuru Jagadesh. The Police seized 300 kg of ammonium nitrate (packed in six bags), 500 EDs, 100 empty EDs and a car from the possession of two of those arrested.","state: Andhra Pradesh, district: Visakhapatnam","district: None, village: None, other_locations: None. Explanation: The incident mentions the state as Andhra Pradesh","state: Andhra Pradesh, district: Not Mentioned, village: Not Mentioned, other_locations: Visakha Rural Police","state: Andhra Pradesh, district: Visakha, village: <not mentioned>, other_locations: Andhra University's Telugu Department","state: name>, district: name>, village: name>, other_locations: name>","state: Andhra Pradesh, district: Visakhapatnam",
311071401,"Maoists set ablaze three vehicles in the Nerli Ghati area in Dantewada District of Chhattisgarh, and opened fire on the Police parties. However, there was no report of casualty on any side, Bastar Range IGP, S.R.P. Kalluri said.","state: Chhattisgarh, district: Dantewada, other_locations: Nerli Ghati area","district: Dantewada, village: Nerli Ghati, other_locations: Bastar Range. (Note: Nerli Ghati is an area within the Dantewada district","state: Chhattisgarh, district: Dantewada, village: Nerli Ghati, other_locations: None.","state: Chhattisgarh, district: Dantewada, village: Nerli Ghati, other_locations: Bastar Range","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, village: Nerli Ghati",
811071402,"Police have recovered INR 7.29 lakh, apparently collected by PLFI cadres from a rented house at Jagannathpur area in Ranchi District of Jharkhand.","state: Jharkhand, district: Ranchi, other_locations: Ranchi, Jagannathpur","village: Jagannathpur, other_locations: India"" Reasoning Skill: This question requires the ability to identify and extract relevant information from a text","state: Jharkhand, district: Ranchi, village: (not mentioned), other_locations: Jagannathpur area.","state: Jharkhand, district: Ranchi, village: (not mentioned), other_locations: Jagannathpur area","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Ranchi, village: Jagannathpur",
311071403,"A top CPI-Maoist ‘Jan militia commander’ identified as Arjun Nureti, wanted in connection with 12 criminal incidents including killing of a CRPF trooper, was arrested from Diyagaon village under Durgkondal Police Station limits in Kanker District of Chhattisgarh. Nureti was active in Enhur region, carried cash reward of INR 100,000 on his head.","state: Chhattisgarh, district: Kanker, village: Diyagaon, other_locations: Durgkondal","district: Kanker, village: Diyagaon, other_locations: Enhur region","state: Chhattisgarh, district: Kanker, village: Diyagaon, other_locations: Enhur.","state: Chhattisgarh, district: Kanker, village: Diyagaon, other_locations: Enhur region","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker, village: Diyagaon, other_locations: Enhur",
811071401,"Police recovered 24 camouflage jackets, identical to those used by CPMFs during anti-Naxal operations, abandoned under Murhu Police Station area in Khunti District of Jharkhand. Police claimed the jackets were meant for PLFI, a breakaway faction of the CPI-Maoist, active in Khunti.","state: Jharkhand, district: Khunti, other_locations: Murhu","district: Khunti, village: Murhu, other_locations: Police Station area. Note: The answer is in the exact format as requested. The state is Jharkhand","state: Jharkhand, district: Khunti, village: Murhu, other_locations: Police Station area.","state: Jharkhand, district: Khunti, village: Murhu Police Station area","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Khunti, other_locations: Murhu Police Station",
