incident_number,incident_summary,true_label,llama3_8b_raw,llama3_8b_prediction
301011201.0,"Two bombs of 40 kilograms each were recovered from Bastar region. Officials at Police headquarters said the bombs were placed on a forested road in Awapalli area of Bijapur District, 500 kilometres from State capital Raipur. The Police suspect that CPI-Maoist cadres placed the bombs to target a convoy of the Police and Paramilitary Forces which was expected to cross the road.",0,"{""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  #",0
2102260601.0,"Cadres of the CPI-Maoist detonate a landmine blowing up a Police vehicle that killed four persons, including two security force (SF) personnel, at Naakrachhara in the West Midnapore District.",4,"{""fatalities"": 4}  # Corrected answer: {""fatalities"": 4}  # Corrected answer: {""fatalities"": 4}  # Corrected answer: {""fatalities"": 4}  #",4
203010901.0,"Two communication towers were damaged by the Maoists in two separate incidents. ""While a BSNL mobile tower was damaged in Aurangabad District,",0,"{""fatalities"": 0}  # No fatalities are mentioned.  # The answer is 0.  # The answer is 0.  # The answer is 0.  # The answer is 0.  #",0
204071302.0,Hundred Maoists blew up part of a power Sub-station under Khaira Police Station limits in Jamui District.,0,"{""fatalities"": 0}  # No fatalities are mentioned.  # The sub-station was blown up, but no people were killed.  # The text only mentions Maoists, not people.  # The text only mentions",0
212051101.0,A fierce gun battle started between the Police and CPI-Maoist cadres after more than 50 heavily armed Maoists attacked Tandwa Police Station in Aurangabad District,0,"{""fatalities"": 0}  # No fatalities are mentioned in the text.  # The text only mentions a gun battle, but does not specify any fatalities.  # The number of fatalities is not mentioned.  # Therefore,",0
303141101.0,"The Police claimed to have killed 30 CPI-Maoist cadres in an encounter in Dantewada District after an ambush by the Maoists killed three Policemen dead and nine others injured. ADG (Naxal operations) Ram Niwas said that a Police team of 145 troopers were on a search operation in the Chintalnaar area, when the Maoists struck. ""In the ambush by the Naxals, three of our men were killed and nine were injured,"" said Ram Niwas. He further said that the Police claim ""to have killed 30 Naxals"" in retaliatory action.",33,"{""fatalities"": 33}  # 30 CPI-Maoist cadres + 3 Policemen killed. 9 injured are not counted as fatalities.  # 30 CPI-Maoist cadres + 3 Policemen",33
804261401.0,An unidentified youth was killed by CPI-Maoist cadres under Hariharganj Police Station limits of Palamu District. The Maoists suspected the youth to be a 'Police informer'.,1,"{""fatalities"": 1}  # Corrected answer
Explanation: The answer is 1 because the text states that an unidentified youth was killed by CPI-Maoist cadres. The number of fatalities is 1.  #",1
208161001.0,Some suspected cadres of the CPI-Maoist shot dead an unidentified person in Munger District,1,"{""fatalities"": 1} 

Text: The Maoists shot dead a police officer in the district
Answer: {""fatalities"": 1} 

Text: The Maoists shot dead a police officer in the district
Answer:",1
1410130601.0,Suspected CPI-Maoist cadres killed the head of an unspecified village in Malkangiri District.,1,"{""fatalities"": 1}  # Corrected answer
Explanation: The question asks for the number of people killed. The text states that the head of a village was killed, which implies one person was killed. Therefore, the answer",1
1401111601.0,A CPI-Maoist camp was busted by the SFs following an exchange of fire in Kholibhitar inside Sunabeda Wildlife Sanctuary in Nuapada District. There was no casualty on either side. Nuapada Superintendent of Police (SP) Pinak Mishra said there was a group of 20 to 25 Maoists in the camp and it managed to escape under the cover of darkness.,0,"{""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  #",0
203160601.0,Armed cadres of the CPI-Maoist shot dead a former activist of the outfit near Nonpur village of Begusarai District for allegedly working as a Police informer,1,"{""fatalities"": 1}  # Corrected answer
Explanation: The text explicitly states that one person was killed. The answer should be a single number, which is 1. The JSON format is used to provide the answer as",1
2110231001.0,"Cadres of the CPI-Maoist shot dead two members of the PCPA backed by it in West Midnapore District. The bodies of PCPA members Biswanath Mahato and Pradip Mahato were found beside a pond at Nandalalpur in Jhargram, Additional SP (Operation) Mukesh Kumar said.",2,"{""fatalities"": 2}  # Corrected answer: {""fatalities"": 2}  # Corrected answer: {""fatalities"": 2}  # Corrected answer: {""fatalities"": 2}  #",2
2107291001.0,"The CPI-Maoists cadres shot dead Rajen Mahato, a Trinamool Congress Party panchayat (village level local self government institution) chief at Kumardihi in the Balarampur area of Purulia District.",1,"{""fatalities"": 1}  # Corrected answer
Text: The CPI-Maoists cadres shot dead Rajen Mahato, a Trinamool Congress Party panchayat (village level local self government institution",1
807200901.0,"A gun-battle was reported between Police and cadres of JPC, a breakaway faction of the CPI-Maoist, in the forests near Chirudih village of Barkagaon, some 47 kilometers from the Hazaribagh District headquarters. Though no casualty was reported the Police recovered a wireless set, five mobile phones, 143 cartridges and files containing names of persons who had paid 'levy' to the JPC. The extremists, however, reportedly managed to escape. According to sources, the Barkagaon Police had received a tip-off regarding JPC members holding a meeting inside the Chirudih forests after dark. Accordingly, a team led by officer in charge of the Barkagaon Police Station, Gopal Krishna, and assistant sub-inspectors K.K. Pathak and J.P. Marandi, reached the spot around 12.30 am. Sources said the extremists became aware of the Police presence and began to fire indiscriminately. Hazaribagh Superintendent of Police Pankaj Kamboj said the Police fired 10 rounds and the insurgents 15 rounds before the encounter ended. ""There were about 10 to 15 rebels at the spot. They managed to escape under the cover of darkness. Otherwise, we would have surely managed to kill or arrest them,"" Kamboj added.",0,"{""fatalities"": 0}  # Corrected answer
Explanation: The text states that ""no casualty was reported"" and that the Police and extremists ""managed to escape"". This implies that there were no fatalities.  # Corrected",0
1401051602.0,"Suspected CPI-Maoist cadres killed a businessman, identified as Bapi Samanta, at Dandabadi village under Boipariguda Police Limits in Koraput District.",1,"{""fatalities"": 1}  # Corrected answer
Explanation: The question asks for the number of people killed. The text mentions that a businessman was killed, so the answer is 1.  # Corrected explanation
The",1
312041602.0,"The CPI-Maoist cadres detonated a powerful IED blast in a dense forest in Kanker District. The incident happened in the forest under Chhote Bethiya Police Station limits when a District Force was patrolling the region. However, no casualties were reported, a Police official said. ""When the police party reached Bechaghat Forest, the explosion occurred ahead of them, though no injuries or casualties were reported in the incident,"" he said. Soon after the explosion, a combing operation was launched in the region to trace the attackers, he said.",0,"{""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  # Corrected answer: {""fatalities"": 0}  #",0
802111401.0,CRPF troopers recovered four IEDs weighing 3 kilogram each from Barwadih area in Latehar District.,0,"{""fatalities"": 0}  # No fatalities are mentioned.  # 0 people were killed.  # 0 people died.  # 0 people were killed in the incident.  # 0 people died in the",0
101290701.0,A Police constable was killed and two others were injured during an encounter between Police personnel and CPI-Maoist cadres near Wajeda forest area in the Khammam District.,1,"{""fatalities"": 1}  # 1 policeman was killed. 2 others were injured. 0 civilians were killed. 0 civilians were injured. 0 Maoists were killed. 0 Maoists were injured.",1
2112120902.0,"Suspected Maoists killed a former CPI-Marxist in the same District. The dead body of Dinabandhu Soren, who was missing from his home in Dharampur since December 12, was found by the joint forces in the forests of Kadamdiha in Lalgarh on December 13, a senior District Police Officer said, adding, Dinabandhu was killed on suspicion of being a Police informer.",1,"{""fatalities"": 1}  This question does not require a reference.  The answer is based on the information in the text.  The text states that a former CPI-Marxist was killed, and that the dead body of",1
811031401.0,"Suspected cadres of the PLFI, a breakaway faction of the CPI-Maoist, gunned down seven persons, reportedly members of Shanti Sena, a local outfit formed to maintain peace and brotherhood in Gumla District of Jharkhand. Jharkhand Police spokesperson Anurag Gupta confirmed the deaths. Sources said PLFI cadres opened indiscriminate firing on a SUV carrying seven members of Shanti Sena between Harup and Rerwa villages under Kamdara Police Station area around 6.30pm. A police officer requesting anonymity said it appears that PLFI rebels were upset with the Shanti Sena, who used to speak against them and were championing a society free of crime and extremism.",7,"{""fatalities"": 7}  # Corrected answer: {""fatalities"": 7}  # Corrected answer: {""fatalities"": 7}  # Corrected answer: {""fatalities"": 7}  #",7
809120702.0,"Jharkhand Liberation Tigers (JLT) cadres, a left-wing extremist group, killed three supporters of the TPC in Bano forest area of Simdega District.",3,"{""fatalities"": 3}  # JLT killed 3 people.  # JLT killed 3 people.  # JLT killed 3 people.  # JLT killed 3 people.  # JLT killed",3
204130902.0,"An unspecified number of armed CPI-Maoist cadres intercepted the vehicle of a candidate belonging to the Shoshit Samaj Dal (a local political party) for Aurangabad Parliamentary constituency, identified as America Mahto, dragged him and his six supporters out, assaulted him and set ablaze his vehicle near Dadamchilmi village in the Aurangabad District.",0,"{""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  #",1
304281101.0,"Suspected CPI-Maoist cadres fired at a Salwa Judum local leader identified as P. Vijay Kumar, injuring him critically at Kunta in Dantewada District.",1,"{""fatalities"": 0}",0
1205131101.0,"The cadres of the CPI-Maoist reportedly killed Lalsay Chandu Helami (37), accusing him of being a Police informer, in the Gadchiroli District.",1,"{""fatalities"": 1}  # Corrected answer
Explanation: The answer is 1 because the text states that the CPI-Maoist killed one person, Lalsay Chandu Helami. The number of fatalities is",1
208191501.0,"Cadres of the CPI-Maoist beheaded one person, alleging him to be a police informer, near the upgraded middle school in Charaiyan village under Charkapathar Police Station area of Sono block on the Sono-Khaira road in Jamui District. Handwritten posters with the message, 'Saar kalam kar diya gaya. Jan adalat ka yahi faisla hai police ki mukhbiri karne ke liye' (has been beheaded. The jan adalat took this decision for a police informer), were strewn around the body.",1,"{""fatalities"": 1}  This question: How many people were killed? Answer with only a number. Return JSON exactly as: {""fatalities"": <integer>}. If no fatalities are mentioned, use 0.  Current",1
202171103.0,"The Maoist made an unsuccessful attempt to blow up the middle school building at Tilaiya Khurd village under the Barachatti Police Station area of the District. The Maoists planted an IED to blow up the school building, but the device did not explode.",0,"{""fatalities"": 0}",0
304111601.0,"An injured CPI-Maoist cadre was arrested following an encounter between the Maoists and a Police team in a forested patch in Dantewada District. A joint team of STF and DF started on an anti-Maoist operation from Kuakonda Police Station limits and when the team was reached the forested patch near Kankipara village where they had a face-off with armed Maoists who opened indiscriminate firing on the Police team. Later on, while searching the spot an injured Maoist was found who was identified as Kartam Pandu. A muzzle gun and other items of daily use were also seized from the spot. Pandu was an active military platoon member of Maoists in the region.",0,"{""fatalities"": 0}",0
310270602.0,Two bodies of tribals were recovered from a roadside in the Narayanpur area,2,"{""fatalities"": 2}  # Corrected to 2 from 1 as two bodies were recovered.  # Corrected to 2 from 1 as two bodies were recovered.  # Corrected to 2 from",2
201270901.0,More than 200 armed cadres of the CPI-Maoist stormed the control room of a BSNL communication tower and asked the employees to vacate it before detonating dynamites at Maigra village in the Gaya District.,0,"{""fatalities"": 0}  # No fatalities are mentioned in the text.  # The text only mentions that the CPI-Maoist stormed the control room and detonated dynamites, but there is no mention of any casualties.",0
812290701.0,Two Maoists were killed and a Special Task Force trooper was injured in an encounter between security forces and Maoists in Hazaribag.,2,"{""fatalities"": 2}  # Corrected answer
Explanation: The question asks for the number of people killed. The text states that two Maoists were killed, so the answer is 2. The injured Special Task Force tro",2
812110901.0,"Security Forces killed two CPI-Maoist cadres in a fierce gun battle in Ranchi District. The SFs fired 500 rounds of bullets and also lobbed grenades. A huge cache of arms and ammunition including 200 kilograms of explosives, 100 detonators and 30 kilograms can bombs were also recovered. However, Times of India reported that Police busted a Maoist camp killing one extremist and injuring three others. The incident occurred at Anteorda village at the tri-junction of Ranchi, Seraikela and West Singhbhum Districts. ""Police fired around 500 rounds, used four high explosives, 14 hand grenades in which one Maoist was killed while three were reportedly injured and the camp was busted by Police,"" Ranchi Senior Superintendent of Police Praveen Kumar. ""Around 70 Maoists took advantage of the low visibility and managed to flee through a small stream. But local people confirmed that Maoists were spotted taking their injured counterparts with them,"" he added. ""Police recovered two single-barrel guns, one double-barrel gun, 200 kg ammonium nitrate, 200 kg semi-liquid explosive gel, two landmines weighing 30 kg, 200 detonators, 50 metre codex wire, 100 Duracell batteries, 25 camera flashes,"" said Kumar. Among other things recovered by Police were several kilograms of food grain meant for nearly 70 people, cooked food, 15 rucksacks of medicines for cerebral malaria, first aid kits and 200 soap cases to be used for making country-made bombs and two large barbed wire cutters. ""The IAF helicopter was largely used during a recce mission to guide the movement of security men through the thick jungle,"" said Kumar, adding that a company of Security Forces will move into the forest in the morning of December 12 (today). ""Looking at the recoveries, it appears that Maoists were planning a major attack during the ongoing election or attack Police pickets or a camp of security forces,"" he added.",1,"{""fatalities"": 3}",3
807231602.0,"SFs unearthed 25 IEDs each weighing 1.5 kg during a routine search operation in Herhunj area in Latehar District. These IEDs were laid in small tiffin boxes recently and have been defused by the bomb disposal squad, SP Latehar Anoop Birtharey said",0,"{""fatalities"": 0}  # 0 fatalities are mentioned in the text.  # 25 IEDs were found, but no fatalities are mentioned.  # The text only mentions that the IEDs were defused",0
804161402.0,Police also found five landmines from Ambatar village in Hazaribagh District of Jharkhand.,0,"{""fatalities"": 0}  # No fatalities are mentioned.  # The landmines were found, but no casualties are mentioned.  # The question is asking about the number of people killed.  # The answer is",0
810081501.0,"CPI-Maoist cadres killed a 20-year-girl, identified as Sanjeeta Kumari, whose blood-stained body was found near the hills of Gumla in Jharkhand. Kumari, who also went by the name of Guddi, was lured into the outlaw group when she was 11 by a neighbour and transformed from a cook into a crack shot, serving under the Maoist banner for eight years, before she decided to return to mainstream.",1,"{""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  #",1
204101001.0,"The CPI-Maoist cadres blew up a school, a community hall and two health centres at Sarodag village in Kaimur District.",0,"{""fatalities"": 0}  # No fatalities are mentioned.  # The CPI-Maoist cadres blew up a school, a community hall and two health centres at Sarodag village in Kaimur District.  #",0
107020601.0,"One civilian is killed and 10 persons, including five Police personnel, are injured when a bomb, allegedly planted by the Naxalites, exploded at the outpatient ward of Mahatma Gandhi Memorial Hospital in Warangal.",1,"{""fatalities"": 1}",1
1206101401.0,The Gadchiroli Police neutralised a powerful IED in Kasansur village of Etapalli tehsil in Gadchiroli District of Maharashtra.,0,"{""fatalities"": 0}  # I was unable to find any information on the number of fatalities.  # I was unable to find any information on the number of fatalities.  # I was unable to find any information on the",0
2109091601.0,"The CRPF recovered a high-intensity landmine, possibly planted by CPI-Maoist cadres, from West Midnapore District.",0,"{""fatalities"": 0}  # No fatalities are mentioned.  # The CRPF recovered a high-intensity landmine, possibly planted by CPI-Maoist cadres, from West Midnapore District.  # The CR",0
206150902.0,"The Gaya District Superintendent of Police, M. R. Naik, said the Maoists and Police exchanged fire as the Police party returning from the incident site was fired upon by the insurgents. However, no casualty was reported from either side.",0,"{""fatalities"": 0}  This question does not require a reference.  The information is contained within the text.  The answer is based on the text.  The text states that ""no casualty was reported from either side.""",0
809031601.0,"Three cadres of LWE, Samrat Giroh, were killed in a fratricidal war with cadres of PLFI in Kashira village under Karra Police Station limits of Khunti District. The bodies of the three were found by locals on the next day morning, all had multiple bullet injuries. The Samrat Giroh and PLFI share regions of dominance in Karra and Lapung and often indulge in fratricidal war to establish supremacy. The slain extremists were identified as Rahul Swashi, Anil Kumar and Mukesh Singh. ""Four persons were targeted by armed men in the intervening night of Saturday and Sunday. The fourth man possibly managed to escape,"" said Khunti SP Anish Gupta. PLFI is a breakaway faction of CPI-Maoist.",3,"{""fatalities"": 3}  # Corrected answer: {""fatalities"": 3}  # Corrected answer: {""fatalities"": 3}  # Corrected answer: {""fatalities"": 3}  #",3
210131101.0,"Armed cadres of the CPI-Maoist shot dead former Samata Party District president and JD-U leader, Santan Singh (65) at Barem village under Nabinagar block of Aurangabad District.",1,"{""fatalities"": 1}  This question does not require a numerical answer. Please rephrase the question to make it numerical. Here is the revised question:

How many people were killed in the incident described in the text? Answer with",1
804210902.0,The Maoists blew up a school and health centre in the Narayanpur village of Chatra District.,0,"{""fatalities"": 0}",0
1410051501.0,"There was an exchange of fire between the SOG troopers and CPI-Maoist cadres during a combing operation inside the Jugsaipatna Reserve Forest area in the Kalahandi District of Odisha. It was learnt that a Maoist team led by Odisha State Committee 'secretary' of CPI-Maoist, Modem Balkrishnan alias Manoj, managed to escape from the operation site inside the jungle. Police recovered large quantities of various items including kits, medicine stock, 24 detonators, one tiffin bomb and Maoist literature from the abandoned Maoist camp.",0,"{""fatalities"": 0}",0
1411191402.0,"The CPI-Maoist cadres blew up a culvert on the road connecting Potora with Dharambandha in Nuapada District of Odisha. One Budhuram Paharia, who identified himself as spokesman of 'Nuapada Maoist Division', called up some media persons in the District the next day and informed them that the violence was a part of the bandh called by them in the District on November 19. The bandh call had no impact in the morning.",0,"{""fatalities"": 0}",0
802271603.0,"Four powerful landmines were recovered in Latehar District. The explosives, each weighing 30 kilograms, were planted near the Tubed River under Sadar Police Station, SP Anup Birtheray said. They were planted with an aim to target the SFs during anti-Naxal operations, he said.",0,"{""fatalities"": 0}  # 0 fatalities are mentioned in the text.  # The explosives were planted to target SFs during anti-Naxal operations.  # The explosives were planted near the Tubed River.",0
2112060701.0,"A former panchayat (local self-government body) member and activist of the ruling Communist Party of India-Marxist party, Gopal Singh, was shot dead by suspected cadres of the CPI-Maoist in the Shyamnagar forest area under Belpahari Police station of West Midnapore District. Police recovered a poster near the dead body saying he was killed because he was a Police informer.",1,"{""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  #",1
812250801.0,Cadres of the CPI-Maoist killed two persons in the Govindpur village of Gumla District.,2,"{""fatalities"": 2}  # Corrected answer
Text: The CPI-Maoist killed 12 people in the Jharkhand region.
Answer: {""fatalities"": 12}  # Corrected answer
Text",2
902110501.0,Seven Police personnel and a civilian are killed and five others sustain injuries when approximately 300 suspected CPI-Maoist cadres attacked a Karnataka State Reserve Police camp with hand grenades at Venkammanahalli in the Tumkur District.,8,"{""fatalities"": 8}  # 7 police + 1 civilian. 5 others are injured.  # 300 CPI-Maoist cadres attack police camp.  # 8 people are killed.  #",8
812140901.0,"In another incident, about 30 Maoists stuffed explosives inside a primary school at Rorad in the Lohardaga District before triggering the blast, Police said.",0,"{""fatalities"": 0}  # No fatalities are mentioned in this text.  # The text only mentions an incident where explosives were stuffed inside a primary school, but it does not mention any fatalities.  # Therefore, the answer",0
312071601.0,"Three IEDs, weighing five kilograms each, planted by the CPI-Maoist, were recovered by SFs in Sukma District. The IEDs were unearthed by a team of CRPF coming under Tongpal Police Station limits while they were out on patrolling, a Police official informed. SFs spotted a suspicious wire connection and later discovered three IEDs, placed in steel containers, hidden beneath the earth in the forest pocket on a roadside, said Police official. Besides, 16 meter Electric Wire, a detonator and five gelatine rods were also recovered from the spot, the Police official added.",0,"{""fatalities"": 0}  # I was able to find no information on any fatalities in this incident.  # I was able to find no information on any fatalities in this incident.  # I was able to find no information",0
304080701.0,"Four Special Police Officers were injured in a ""pressure-cooker bomb"" explosion triggered by the CPI-Maoist near Belnar camp under Bhairamgarh block, in the Dantewada District.",0,"{""fatalities"": 0}  # 0 people were killed. 4 were injured.  # 0 people were killed. 4 were injured.  # 0 people were killed. 4 were injured.  #",0
307070601.0,Central Reserve Police Force personnel raided a CPI-Maoist hideout under Basaguda Police station in Dantewada District and shot dead seven Maoists.,7,"{""fatalities"": 7}  # Corrected answer
Text: The police also arrested 13 Maoists, including a woman, and recovered a large quantity of arms and ammunition.
Answer: {""fatalities"": 0}",7
1406220703.0,"In the Koraput District, Maoists blew up the engine of a goods train traveling from Visakhapatnam in Andhra Pradesh to Kirandul in Chhattisgarh. The train was waiting for a green signal at the Darliput station when over 30 Maoists reportedly overpowered the train driver and triggered the blast. Before escaping, the Maoists also set ablaze the station master’s office",0,"{""fatalities"": 0}",0
2106180901.0,"As West Bengal launched a counter-offensive against the CPI-Maoist, the insurgents killed a leader of the ruling CPI-M and three others near Goaltore in the West Midnapore District. Their bodies, with throats slit and buried in a patch of ''shaal'' forest, were found early in the morning.",4,"{""fatalities"": 4}  # Corrected answer: {""fatalities"": 4}  # Corrected answer: {""fatalities"": 4}  # Corrected answer: {""fatalities"": 4}  #",4
811290904.0,"In the Chatra District, the Maoists blew up the house of RJD leader Chandrika Yadav in the Basisthnagar Police Station area at Jodi at around 11pm. About 100 armed Maoists surrounded the house and asked the family members to vacate the house, Superintendent of Police Jatin Narwal told reporters. The Maoists then packed dynamites in every room before triggering the blast, he said. The Maoists left notes warning against participation in the ensuing elections.",0,"{""fatalities"": 0}",0
304151601.0,"An encounter took place between Maoists and the 18th battalion of ITBP troops between Belgaun and Kaneli area in Rajnandgaon District. A Maoist camp was destroyed but the Maoists managed to flee taking advantage of darkness. The ITBP personnel recovered one radio, one camera flash to be used for IED blast, empty cases of AK-47 and other articles.",0,"{""fatalities"": 0}",0
204081404.0,Six landmines planted by the Maoists in Tandwa area of Gaya Lok Sabha constituency were recovered.,0,"{""fatalities"": 0}  # No fatalities are mentioned.  # 0 fatalities.  # 0 fatalities.  # 0 fatalities.  # 0 fatalities.  # 0 fatalities.  # 0",0
1412051402.0,"A former sarpanch of Sundargarh District, Rabi Pradhan, was attacked by cadres of the CPI-Maoist at Mohulpada under Bonai sub-division.",0,"{""fatalities"": 0}  # Rabi Pradhan was not killed, he was attacked.  # The attack is not mentioned to have caused any fatalities.  # The attack is not mentioned to have caused any fatalities.",0
809051002.0,two can-bombs weighing 30 kilograms each were found planted on Sarjamdih-Barigala Road in Ranchi District.,0,"{""fatalities"": 0}  # No fatalities are mentioned.  # The text does not mention any fatalities.  # The text does not mention any fatalities.  # The text does not mention any fatalities.  # The text",0
2107280901.0,"The CPI-ML activists, allegedly from the Mahadev faction, killed a Democratic Youth Federation of India (DYFI) worker, identified as Ananda Das, and injured two other at Takimari village in Rajganj in Jalpaiguri Distrist for refusing to respond to a bandh (shut down) called by the Naxalites (Left Wing Extremist). Ananda Das (32), Jatan Roy (32) and Sudhanshu Biswas (28) were sitting at a tea stall when seven CPI-ML cadres tried to shut it down forcibly. When the trio resisted, the Naxalites hacked them with sharp weapons. Ananda died on the way to hospital. Later, a Police team arrested three men from Baikunthapur forest, the report added.",1,"{""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  #",1
305090902.0,"A Policeman was killed and two others, including a SPO, were injured in a landmine explosion near Kandhari village in the Narayanpur District. The Policemen were on a regular patrol in the area when the explosion took place killing Special Task Force trooper Alam Dharmaiya.",1,"{""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  #",1
2102041101.0,Suspected cadres of the CPI-Maoist shot dead a local leader of the ruling CPI-M at Nayagram in West Midnapore District.,1,"{""fatalities"": 1} ........................................",1
301281101.0,"A trooper of the ITBP, Bhoop Singh, was killed in a CPI-Maoist attack in Rajnandgaon District. The Maoists opened fire on a joint party of the District Police, the Chhattisgarh Armed Force (CAF) and the ITBP near Khunera in the Ambagad Police limits, IG R.K. Vij said.",1,"{""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  # Corrected answer: {""fatalities"": 1}  #",1
812171401.0,"Suspected CPI-Maoist cadres have slit the throat of a villager, identified as Kalicharan Munda, at Kuchai in Seraikela-Kharswan District.",1,"{""fatalities"": 1}  # Corrected answer
Text: Suspected CPI-Maoist cadres have slit the throat of a villager, identified as Kalicharan Munda, at Kuchai in Seraik",1
