incident_number,state,district,block,village_name,other_areas,constituency,longitude,latitude,year,date,perpetrator,first_action,second_action,third_action,armed_assault,arrest,bombing,infrastructure,surrender,seizure,abduction,action_successful,first_target,second_target,civilians,maoist,government_officials,security,private_property,mining_company,ngos,government_infrastructure,non_maoist_armed_group,no_target,first_civilian_target,second_civilian_target,former_maoist,high_caste_landowner,police_informer,businessman,aspiring_politician,other_elite,other_civilian,total_fatalities,govt_official_fatalities,civilian_fatalities,security_fatalities,maoist_fatalities,other_armed_grp_fatalities,total_injuries,govt_official_injuries,civilian_injuries,security_injuries,maoist_injuries,non_maoist_armed_group_injuries,property_damage,value_property_damage,total_abducted,total_arrests,commander_arrests,cadre_arrests,sympathizer_arrests,unknown_arrests,total_surrenders,commander_surrenders,cadre_surrenders,sympathizer_surrenders,unknown_surrenders,incident_summary
812160802,Jharkhand,Bokaro,NA,NA,Upper Ghat,NA,NA,NA,2008,2008-12-16T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,"Jivan Manjhi, a sub zonal commander of the CPI-Maoist, was arrested from Upper Ghat area in the Bokaro District. Manjhi was involved in Maoist activity for the last ten years in Jhumra hills of Bokaro District."
208041101,Bihar,Jamui,Sono,Bariarpur,NA,Chakai,25.287861111111113,86.57155555555555,2011,2011-08-04T00:00:00Z,Maoist,Bombing,None,None,0,0,1,0,0,0,0,1,Private Property,No Target,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a part of the house,0,0,0,0,0,0,0,0,0,0,0,"Over 40 cadres of the CPI-Maoist raided the Bariarpur village under Barhat Police Station area in Jamui District and blew up a part of the house of Sumitra Devi, the village head."
811021302,Jharkhand,Gumla,Basia,Kumhari,NA,Basia,22.939166666666665,84.80355555555555,2013,2013-11-02T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Government Officials,Civilians,1,0,1,0,0,0,0,0,0,0,Other Civilian,NA,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Suspected cadres of the PLFI, a breakaway faction of the CPI-Maoist killed two persons, including a JMM party worker near Kumhari village in Gumla District. PLFI men shot them when they allegedly failed to pay 'levy'. The victims were identified as Laxman Kansari (40) and Ashif Ansari."
811100901,Jharkhand,Bokaro,Bokaro,NA,Sector 12,Bokaro,23.6385,86.14383333333333,2009,2009-11-10T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,0,0,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Bihar Police personnel seized 30,000 live cartridges of .315 bore, two AK-47 rifles, four INSAS rifles and huge quantity of explosives from a house in Bokaro, Bihar Additional Director General of Police (Headquarters) U. S. Dutta said. Acting on a tip-off, the State Police sought help from the Jharkhand Police and raided a house in Sector 12 Bokaro and recovered the firearms and explosive, Dutta said."
212101001,Bihar,Patna,Paliganj,NA,Mangila,Paliganj,25.32761111111111,84.80097222222221,2010,2010-12-10T00:00:00Z,Security,Arrest,"Seizure of Money, Weapons, Property etc",None,0,1,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4,0,4,0,0,0,0,0,0,0,"Bihar Police searched a vehicle and arrested four cadres of the CPI-Maoist, identified as Dharamvir Mahta alias Badalji, Bigan Mochi, Mahesh Kumar and Nirbhay Kumar near Mangila area of Patna District."
1203101501,Maharashtra,Pune,NA,NA,NA,NA,NA,NA,2015,2015-03-10T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,"A youth identified as Shahrukh Chand Khan (21), earlier questioned for alleged CPI-Maoist links, has been arrested by the Pune Police for allegedly trying to extort INR 200,000 from Ramesh Bagwe, the former minister of state for home affairs. An offence in this connection has been registered with Khadak Police Station in Pune in Maharashtra. A resident of Kasewadi slums in Bhavani Peth, Shahrukh and his friend, both associated with an organisation ""Mass Movement"" were questioned by the state ATS following the arrest of alleged Maoist couple Arun Bhelke and Kanchan Nanaware in September 2014. Bhelke had allegedly developed contacts with Mass Movement members while working as an underground operative of the golden corridor committee of the CPI-Maoist."
2109130902,West Bengal,West Midnapore,Binpur - i,Baita,Lalgarh,Jhargram,22.37925,87.46338888888889,2009,2009-09-13T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,0,0,0,1,0,0,0,1,Government Infrastructure,No Target,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspected Maoists also dug up a road at Baita,0,0,0,0,0,0,0,0,0,0,0,"Earlier in the day, the CPI-M activists took out a rally from Kankaboti to Enayetpur, around 8 kilometres from Midnapore town to protest the killing of 31 party workers since the beginning of joint operation against Maoists in Lalgarh, with CPI-M District secretariat member Satyen Maity leading the rally, which saw the participation of more than 5,000 people. The Maoists, too, organized a rally comprising villagers from Chilgora to Dherua. Superintendent of Police Manoj Verma said, ""We know about the rally. We recovered two suspected landmines, but they turned out to be fake."" Further, suspected Maoists also dug up a road at Baita, around 15 kilometres from Lalgarh affecting bus service between Jhargram and Midnapore via Dherua."
309281502,Chhattisgarh,Bijapur,NA,Talmendri,NA,Bijapur,19.032015,81.013,2015,2015-09-28T00:00:00Z,Maoist,Hijacking/Kidnapping,None,None,0,0,0,0,0,0,1,1,Security,No Target,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,An Auxiliary Constable of Chhattisgarh Police was abducted by the CPI-Maoist cadres in Bijapur District.
305060802,Chhattisgarh,Dantewada,NA,Tetrai,NA,Konta,18.0845,81.4417,2008,2008-05-06T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,0,0,0,1,0,0,0,1,Non-Maoist Armed Group,Private Property,0,0,0,0,1,0,0,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33 huts destroyed,0,0,0,0,0,0,0,0,0,0,0,Maoists set ablaze 39 deserted huts belonging to the members of the Salwa Judum at the remote Tetrai village in the Dantewada District.
112170801,Andhra Pradesh,Nalgonda,Mellacheruvu,Mellacheruvu,NA,Huzurnagar,16.81875,79.93016666666666,2008,2008-12-17T00:00:00Z,Maoist,Armed Assault,Bombing,None,1,0,1,0,0,0,0,1,Security,No Target,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,police station damaged,0,0,0,0,0,0,0,0,0,0,0,"Police constable Abdul Karim was injured when a group of CPI-Maoist cadres hurled grenades at Mallecharvu Police station in the Nalgonda District. Police suspect that the Bellamkonda dalam members might have carried out the attack. Around 10 to 12 CPI-Maoist cadres attacked the Police Station and the adjoining residential quarters in Kodad mandal. However, the Maoists managed to escape when the Police personnel repulsed the attack."
803091301,Jharkhand,Latehar,Manika,Manika,NA,Manika,23.866444444444447,84.35216666666666,2013,2013-03-09T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,0,0,0,1,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Set on fire the house of a PLFI 'area commander',0,0,0,0,0,0,0,0,0,0,0,The Maoist cadres set on fire the house of a PLFI 'area commander' Rahul Yadav in Manika in Latehar District.
1410291101,Odisha,Kandhamal,Daringibadi,NA,Godamari Chowk,G. Udayagiri,19.9037,84.1303,2011,2011-10-29T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,0,0,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"The Police recovered a powerful landmine along with detonators, live-wires, batteries and splinters during a combing operation on the Kerubadi-Bhramarabadi road near Godamari Chowk in Kandhamal District."
1403141001,Odisha,Sundargarh,NA,NA,Saranda forest,Saraskana Assembly Constituency,22.273775,86.359222,2010,2010-03-14T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,0,0,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,Four landmines were seized during a combing operation by Security Forces (SFs) from the CPI-Maoist affected Saranda forest area in Sundargarh District.
1405141001,Odisha,Malkangiri,Kalimela,NA,Telarai,Malkangiri,18.056,81.7623,2010,2010-05-14T00:00:00Z,Maoist,Bombing,None,None,0,0,1,0,0,0,0,1,Government Infrastructure,No Target,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,office building and godown of Telarai panchayat,0,0,0,0,0,0,0,0,0,0,0,Around 30 armed cadres of the CPI-Maoist blew up the office building and godown of Telarai panchayat (Village level local self Government Institution) under Kalimela Police Station limits in Malkangiri.
307111001,Chhattisgarh,Dantewada,NA,Cholnar,Gidam,Dantewada assembly constituency,18.603694916,81.3096,2010,2010-07-11T00:00:00Z,Security,Arrest,"Seizure of Money, Weapons, Property etc",None,0,1,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,0,6,0,0,0,0,0,0,0,Six suspected cadres of the CPI-Maoist were arrested in Dantewada District for attacking Congress party leader
802040902,Jharkhand,Ranchi,NA,NA,NA,NA,NA,NA,2009,2009-02-04T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,"One of the senior-most CPI-Maoist leaders hailing from Andhra Pradesh, identified as Mohammed Hussain, was arrested in Ranchi by the Jharkhand Police. Hussain, who went by the name of Sudhakar in his party circles, was looking after the trade union activities in north India for the CPI-Maoist. He was one of the founder members of the Singareni Karmika Samakhya (Sikasa), a trade union started by the erstwhile People's War Group. Hussain, a native of Mandamarri in the Adilabad District of Andhra Pradesh, was a coal miner and went underground in the early 1980s to build a militant worker's movement."
201220903,Bihar,Gaya,Dumaria,Nayakagawn,Dumaria Police Station,Imamganj,24.44188888888889,84.39591666666668,2009,2009-01-22T00:00:00Z,Maoist,Bombing,None,None,0,0,1,0,0,0,0,1,Government Infrastructure,No Target,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,Maoists blew up a Bharat Sanchar Nigam Limited mobile tower at Nayakagawn village under Dumaria Police Station of Gaya District during their general shut down call.
801301601,Jharkhand,West Singhbhum,Bandgaon,NA,"Pondegar, Bandgaon Police Station",Chakradharpur,22.864944444444447,85.32413888888888,2016,2016-01-30T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"One civilian was killed in a cross firing between CPI-Maoist and PLFI cadres, at Pondegar under Bandgaon Police Station area in West Singhbhum District."
1207050801,Maharashtra,Gadchiroli,Chamorshi,Machli Toal,NA,Gadchiroli,19.9405,79.8913,2008,2008-07-05T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,2,0,0,0,0,0,0,0,"Police arrested two Maoists from Machli Toal village in the Chamorshi Tehsil (revenue division) of Gadchiroli District. The arrested extremists were identified as Santosh alias Namdeo Chaitu Atram (22) and his wife Vimla Zure (20), residents of Modugudam in Aheri Tehsil. They were active in the Maoist dalams for the last two years."
1403121001,Odisha,Mayurbhanj,NA,Gadasahi,NA,Karanjia,19.967027777777776,85.62241666666667,2010,2010-03-12T00:00:00Z,Maoist,Surrender,None,None,0,0,0,0,1,0,0,1,No Target,No Target,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,"A 13-year-old boy, Jatia Siddhu, forcibly taken away by the CPI-Maoist from Gadasahi in Keonjhar District and recruited to the party rank two years ago, managed to escape from the clutches of the Maoists and surrendered in Mayurbhanj District. He was renamed as Bipin, trained in jungle warfare and made the ‘area committee member’ in Similipal."
808291401,Jharkhand,East Singhbhum,Ghatshila Sub-Division,Singpura,NA,Ghatshila,22.36575,86.57763888888888,2014,2014-08-29T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Civilians,No Target,1,0,0,0,0,0,0,0,0,0,Other Civilian,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"CPI-Maoist cadres killed a man, identified as Kishan Sahu, in a weekly market at Singpura under Gurabandha Police Station limits in Ghatshila Sub-Division of East Singhbhum District."
110070603,Andhra Pradesh,Adilabad,NA,NA,NA,NA,NA,NA,2006,2006-10-07T00:00:00Z,Maoist,Surrender,None,None,0,0,0,0,1,0,0,1,No Target,No Target,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,"Maoist ‘deputy commander’ belonging to the Manmgi Dalam, Jungnaka Jaithu alias Amruth alias Vinod, surrendered before the Adilabad District Superintendent of Police, Kripanand Tripathi Ujela."
310171602,Chhattisgarh,Dantewada,NA,NA,NA,NA,NA,NA,2016,2016-10-17T00:00:00Z,Maoist,Surrender,None,None,0,0,0,0,1,0,0,1,No Target,No Target,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,1,1,0,0,"Two Maoists, carrying reward of INR 100,000 each on their heads, surrendered before Dantewada SP, Kamlochan Kashyap and other Police officials at the District headquarters of Dantewada. They have been identified as Madkam Deva (30), a member of Kerlapal (Sukma) LOS and Ganga Muchaki (30), head of DAKMS."
811280701,Jharkhand,Khunti,Murhu,NA,Murhu Police station,Khunti,22.964,85.28463888888889,2007,2007-11-28T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Civilians,No Target,1,0,0,0,0,0,0,0,0,0,NA,Police Informer,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Cadres of the Jharkhand Liberation Tigers (JLT), a left-wing extremist group, shot dead two civilians, Prem Kunj and Rajkumar Sahu, under Murhu Police station limits in the Ranchi District. The JLT claimed responsibility for the killing and said that both the persons have brought Police in civil dress with them while they came to pay levy to the organization. They also warned other Police informers of dire consequences."
1205121101,Maharashtra,Pune,Shirur,Shirur,NA,Shirur,18.825,74.3776,2011,2011-05-12T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,10,0,10,0,0,0,0,0,0,0,"The Maharashtra ATS arrested 10 CPI-Maoist cadres hailing from West Midnapore District in West Bengal, from their hideout at Shirur in Pune District."
2109290901,West Bengal,West Midnapore,Binpur - i,Dahijuri,NA,Jhargram,22.503916666666665,86.99036111111111,2009,2009-09-29T00:00:00Z,Maoist,Bombing,Armed Assault,None,1,0,1,0,0,0,0,1,Security,No Target,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"The Security Forces and cadres of the CPI-Maoist got engaged in a gun battle at Dahijuri in the West Midnapore District in the evening. However, no casualty was reported. The Superintendent of Police Manoj Kumar Verma said apart from the incident of fire-exchange, one landmine was also detected and defused by the Police during the day."
310121001,Chhattisgarh,Bijapur,NA,NA,NA,NA,NA,NA,2010,2010-10-12T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Security,No Target,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Two Police Constables, Rajesh Prasad and Ritesh Jha, were killed by about 40 to 50 cadres of the CPI-Maoist in Bijapur District."
202221401,Bihar,Gaya,NA,NA,Grand trunk road,NA,NA,NA,2014,2014-02-22T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Security,No Target,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,A man was killed by a stray bullet during a five-hour encounter between CPI-Maoist and Police in Gaya District. The fighting erupted after nearly 100 CPI-Maoist cadres attacked a Police Station near Grand Trunk Road in Gaya District.
211101001,Bihar,Patna,NA,NA,NA,NA,NA,NA,2010,2010-11-10T00:00:00Z,Security,Arrest,"Seizure of Money, Weapons, Property etc",None,0,1,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,2,0,0,0,0,0,0,0,"Acting on a tip-off, Police arrested Umesh alias Radheshyam Yadav and Laldas Mochi alias Mukesh, both cadres of the CPI-Maoist in Patna District."
205121101,Bihar,Bhojpur,Piro,Piro,NA,Jagdishpur,25.326888888888888,84.40241666666667,2011,2011-05-12T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,1,1,0,0,0,0,0,0,0,"Two CPI-Maoist cadres, including a self-styled zonal 'commander', were arrested from Piro in Bhojpur District"
801231503,Jharkhand,Khunti,Murhu/Khunti,Kitahatu,NA,Khunti,23.004083333333337,85.41394444444445,2015,2015-01-23T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Civilians,No Target,1,0,0,0,0,0,0,0,0,0,Police Informer,NA,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"CPI-Maoist killed an 18-year-old girl at a village in Khunti District. Police said the body of Birsi Kumari (18) was found by neighbours with two bullet wounds on January 24 at Kitahatu village. Local residents said the girl paid with her life for being a Police informer, but the Police deny the claim."
